,id,age,household_makeup,children_ages_2_or_younger,children_ages_3_5,children_ages_6_9,children_ages_10_14,children_ages_15_17,annual_household_income,location_density,population_perc,group_population_est
98,100098,20-24,With children,y,n,y,y,y,"$200,000+",rural,2.1257162503505284e-10,0.07055119271361944
99,100099,20-24,With children,y,n,y,y,n,"$70,000 - $99,000",urban,1.1086701229688016e-07,36.79606790817261
100,100100,20-24,With children,y,n,y,y,n,"$70,000 - $99,000",suburb,4.7853004588522594e-08,15.882112902386949
101,100101,20-24,With children,y,n,y,y,n,"$70,000 - $99,000",rural,2.8302525825238634e-08,9.393431289097666
102,100102,20-24,With children,y,n,y,y,n,"$100,000 - $199,000",urban,1.357088127537754e-07,45.040906094354284
103,100103,20-24,With children,y,n,y,y,n,"$100,000 - $199,000",suburb,5.861989057266641e-08,19.45557501365245
104,100104,20-24,With children,y,n,y,y,n,"$100,000 - $199,000",rural,2.7775531617569564e-08,9.21852520792107
105,100105,20-24,With children,y,n,y,y,n,"$200,000+",urban,6.453060502968733e-08,21.417304170418767
106,100106,20-24,With children,y,n,y,y,n,"$200,000+",suburb,1.9612666544298072e-08,6.5093213488232955
107,100107,20-24,With children,y,n,y,y,n,"$200,000+",rural,5.434653438557597e-09,1.8037274825000083
108,100108,20-24,With children,y,n,y,n,y,"$70,000 - $99,000",urban,6.595540753174684e-08,21.890187208712664
109,100109,20-24,With children,y,n,y,n,y,"$70,000 - $99,000",suburb,2.8468020864519814e-08,9.448358057463619
110,100110,20-24,With children,y,n,y,n,y,"$70,000 - $99,000",rural,1.6837331378451274e-08,5.588204967000205
111,100111,20-24,With children,y,n,y,n,y,"$100,000 - $199,000",urban,8.073393397538734e-08,26.79508769567404
112,100112,20-24,With children,y,n,y,n,y,"$100,000 - $199,000",suburb,3.487330173409405e-08,11.57423071304347
113,100113,20-24,With children,y,n,y,n,y,"$100,000 - $199,000",rural,1.652381956809773e-08,5.484152358160238
114,100114,20-24,With children,y,n,y,n,y,"$200,000+",urban,3.838961892114585e-08,12.741274392861955
115,100115,20-24,With children,y,n,y,n,y,"$200,000+",suburb,1.166768534584058e-08,3.8724317849126506
116,100116,20-24,With children,y,n,y,n,y,"$200,000+",rural,3.2331058166700717e-09,1.0730475974759135
117,100117,20-24,With children,y,n,y,n,n,"$70,000 - $99,000",urban,1.6862306165028775e-06,559.6493942447988
118,100118,20-24,With children,y,n,y,n,n,"$70,000 - $99,000",suburb,7.27819752305981e-07,241.55882327780444
119,100119,20-24,With children,y,n,y,n,n,"$70,000 - $99,000",rural,4.3046695840493696e-07,142.86929092377375
120,100120,20-24,With children,y,n,y,n,n,"$100,000 - $199,000",urban,2.0640617100954543e-06,685.0491708746847
121,100121,20-24,With children,y,n,y,n,n,"$100,000 - $199,000",suburb,8.915785874610429e-07,295.9093563542556
122,100122,20-24,With children,y,n,y,n,n,"$100,000 - $199,000",rural,4.2245164574086273e-07,140.20905878634824
123,100123,20-24,With children,y,n,y,n,n,"$200,000+",urban,9.81477534644229e-07,325.7462546064404
124,100124,20-24,With children,y,n,y,n,n,"$200,000+",suburb,2.982986382793301e-07,99.00345218692722
125,100125,20-24,With children,y,n,y,n,n,"$200,000+",rural,8.265830230581888e-08,27.433773507620366
126,100126,20-24,With children,y,n,n,y,y,"$70,000 - $99,000",urban,9.640604082221962e-08,31.996561929109347
127,100127,20-24,With children,y,n,n,y,y,"$70,000 - $99,000",suburb,4.161128380977209e-08,13.810524817883126
128,100128,20-24,With children,y,n,n,y,y,"$70,000 - $99,000",rural,2.461087751488603e-08,8.168196306151817
129,100129,20-24,With children,y,n,n,y,y,"$100,000 - $199,000",urban,1.180075937037188e-07,39.165982212765655
130,100130,20-24,With children,y,n,n,y,y,"$100,000 - $199,000",suburb,5.0973787842405446e-08,16.917881343851413
131,100131,20-24,With children,y,n,n,y,y,"$100,000 - $199,000",rural,2.415262195225239e-08,8.016104151302256
132,100132,20-24,With children,y,n,n,y,y,"$200,000+",urban,5.6113536514500564e-08,18.62373177899184
133,100133,20-24,With children,y,n,n,y,y,"$200,000+",suburb,1.7054482594327007e-08,5.660276097268506
134,100134,20-24,With children,y,n,n,y,y,"$200,000+",rural,4.725782813098713e-09,1.5684577558959671
135,100135,20-24,With children,y,n,n,y,n,"$70,000 - $99,000",urban,2.4647382789956275e-06,818.0312178607137
136,100136,20-24,With children,y,n,n,y,n,"$70,000 - $99,000",suburb,1.063843335639379e-06,353.0829487586455
137,100137,20-24,With children,y,n,n,y,n,"$70,000 - $99,000",rural,6.292071676553242e-07,208.82992325396842
138,100138,20-24,With children,y,n,n,y,n,"$100,000 - $199,000",urban,3.01700838384271e-06,1001.3262112099544
139,100139,20-24,With children,y,n,n,y,n,"$100,000 - $199,000",suburb,1.3032071958256568e-06,432.5263167335256
140,100140,20-24,With children,y,n,n,y,n,"$100,000 - $199,000",rural,6.174913040315015e-07,204.94150139994863
141,100141,20-24,With children,y,n,n,y,n,"$200,000+",urban,1.4346111533835741e-06,476.1384683152438
142,100142,20-24,With children,y,n,n,y,n,"$200,000+",suburb,4.3601869468136334e-07,144.71187746780927
143,100143,20-24,With children,y,n,n,y,n,"$200,000+",rural,1.2082041434668536e-07,40.09953978997313
144,100144,20-24,With children,y,n,n,n,y,"$70,000 - $99,000",urban,1.4662866282978884e-06,486.65136030920917
145,100145,20-24,With children,y,n,n,n,y,"$70,000 - $99,000",suburb,6.328863680761666e-07,210.05102686024736
146,100146,20-24,With children,y,n,n,n,y,"$70,000 - $99,000",rural,3.743188736201822e-07,124.23409278998398
147,100147,20-24,With children,y,n,n,n,y,"$100,000 - $199,000",urban,1.7948352116695619e-06,595.6945800588786
148,100148,20-24,With children,y,n,n,n,y,"$100,000 - $199,000",suburb,7.752852712294564e-07,257.31233211168507
149,100149,20-24,With children,y,n,n,n,y,"$100,000 - $199,000",rural,3.673490406294059e-07,121.92084881665069
150,100150,20-24,With children,y,n,n,n,y,"$200,000+",urban,8.534582227004386e-07,283.2574457330926
151,100151,20-24,With children,y,n,n,n,y,"$200,000+",suburb,2.5938996734359434e-07,86.08990767709322
152,100152,20-24,With children,y,n,n,n,y,"$200,000+",rural,7.187674224548748e-08,23.85544116225455
153,100153,20-24,With children,y,n,n,n,n,"$70,000 - $99,000",urban,3.7487410020392444e-05,12441.836902018575
154,100154,20-24,With children,y,n,n,n,n,"$70,000 - $99,000",suburb,1.6180513631178172e-05,5370.211265075272
155,100155,20-24,With children,y,n,n,n,n,"$70,000 - $99,000",rural,9.569919566176703e-06,3176.1964441671616
156,100156,20-24,With children,y,n,n,n,n,"$100,000 - $199,000",urban,4.588715616741304e-05,15229.660107802561
157,100157,20-24,With children,y,n,n,n,n,"$100,000 - $199,000",suburb,1.9821115656689543e-05,6578.504305376827
158,100158,20-24,With children,y,n,n,n,n,"$100,000 - $199,000",rural,9.391727265942613e-06,3117.055534312305
159,100159,20-24,With children,y,n,n,n,n,"$200,000+",urban,2.1819702718551225e-05,7241.822850046647
160,100160,20-24,With children,y,n,n,n,n,"$200,000+",suburb,6.6316215897523995e-06,2200.9937248457777
161,100161,20-24,With children,y,n,n,n,n,"$200,000+",rural,1.837616776615143e-06,609.8935138656282
162,100162,20-24,With children,n,y,y,y,y,"$70,000 - $99,000",urban,6.071050109531455e-09,2.0149435569350547
163,100163,20-24,With children,n,y,y,y,y,"$70,000 - $99,000",suburb,2.6204186685450584e-09,0.8697005653713331
164,100164,20-24,With children,n,y,y,y,y,"$70,000 - $99,000",rural,1.5498392980160347e-09,0.5143819687667128
165,100165,20-24,With children,n,y,y,y,y,"$100,000 - $199,000",urban,7.431380944288119e-09,2.46642885212142
166,100166,20-24,With children,n,y,y,y,y,"$100,000 - $199,000",suburb,3.2100106759341524e-09,1.0653824647257673
167,100167,20-24,With children,n,y,y,y,y,"$100,000 - $199,000",rural,1.5209812258455285e-09,0.5048041551205633
168,100168,20-24,With children,n,y,y,y,y,"$200,000+",urban,3.533679934339124e-09,1.172806267039166
169,100169,20-24,With children,n,y,y,y,y,"$200,000+",suburb,1.0739847580010539e-09,0.3564488234058885
170,100170,20-24,With children,n,y,y,y,y,"$200,000+",rural,2.9760027504907396e-10,0.09877166979906722
171,100171,20-24,With children,n,y,y,y,n,"$70,000 - $99,000",urban,1.552138172156322e-07,51.514495071441644
172,100172,20-24,With children,n,y,y,y,n,"$70,000 - $99,000",suburb,6.699420642393163e-08,22.234958063341725
173,100173,20-24,With children,n,y,y,y,n,"$70,000 - $99,000",rural,3.962353615533408e-08,13.150803804736729
174,100174,20-24,With children,n,y,y,y,n,"$100,000 - $199,000",urban,1.8999233785528554e-07,63.05726853209599
175,100175,20-24,With children,n,y,y,y,n,"$100,000 - $199,000",suburb,8.206784680173296e-08,27.237805019113427
176,100176,20-24,With children,n,y,y,y,n,"$100,000 - $199,000",rural,3.888574426459738e-08,12.905935291089497
177,100177,20-24,With children,n,y,y,y,n,"$200,000+",urban,9.034284704156226e-08,29.98422583858627
178,100178,20-24,With children,n,y,y,y,n,"$200,000+",suburb,2.7457733162017297e-08,9.113049888352613
179,100179,20-24,With children,n,y,y,y,n,"$200,000+",rural,7.608514813980636e-09,2.5252184755000116
180,100180,20-24,With children,n,y,y,n,y,"$70,000 - $99,000",urban,9.233757054444555e-08,30.64626209219772
181,100181,20-24,With children,n,y,y,n,y,"$70,000 - $99,000",suburb,3.985522921032773e-08,13.227701280449063
182,100182,20-24,With children,n,y,y,n,y,"$70,000 - $99,000",rural,2.3572263929831776e-08,7.823486953800286
183,100183,20-24,With children,n,y,y,n,y,"$100,000 - $199,000",urban,1.1302750756554226e-07,37.51312277394365
184,100184,20-24,With children,n,y,y,n,y,"$100,000 - $199,000",suburb,4.8822622427731665e-08,16.203922998260854
185,100185,20-24,With children,n,y,y,n,y,"$100,000 - $199,000",rural,2.3133347395336817e-08,7.677813301424331
186,100186,20-24,With children,n,y,y,n,y,"$200,000+",urban,5.374546648960418e-08,17.837784150006733
187,100187,20-24,With children,n,y,y,n,y,"$200,000+",suburb,1.633475948417681e-08,5.42140449887771
188,100188,20-24,With children,n,y,y,n,y,"$200,000+",rural,4.5263481433380995e-09,1.5022666364662787
189,100189,20-24,With children,n,y,y,n,n,"$70,000 - $99,000",urban,2.360722863104028e-06,783.5091519427182
190,100190,20-24,With children,n,y,y,n,n,"$70,000 - $99,000",suburb,1.0189476532283733e-06,338.18235258892616
191,100191,20-24,With children,n,y,y,n,n,"$70,000 - $99,000",rural,6.026537417669117e-07,200.01700729328323
192,100192,20-24,With children,n,y,y,n,n,"$100,000 - $199,000",urban,2.8896863941336356e-06,959.0688392245584
193,100193,20-24,With children,n,y,y,n,n,"$100,000 - $199,000",suburb,1.2482100224454598e-06,414.27309889595773
194,100194,20-24,With children,n,y,y,n,n,"$100,000 - $199,000",rural,5.914323040372078e-07,196.2926823008875
195,100195,20-24,With children,n,y,y,n,n,"$200,000+",urban,1.3740685485019203e-06,456.04475644901646
196,100196,20-24,With children,n,y,y,n,n,"$200,000+",suburb,4.1761809359106205e-07,138.6048330616981
197,100197,20-24,With children,n,y,y,n,n,"$200,000+",rural,1.1572162322814641e-07,38.4072829106685
198,100198,20-24,With children,n,y,n,y,y,"$70,000 - $99,000",urban,1.3496845715110746e-07,44.795186700753085
